"Markettype","Trdmnt","Cmretwdos"
"5","2012-09","0.025116"
"5","2012-10","-0.009486"
"5","2012-11","-0.058453"
"5","2012-12","0.150147"
"5","2013-01","0.050681"
"5","2013-02","-0.001401"
"5","2013-03","-0.051748"
"5","2013-04","-0.024870"
"5","2013-05","0.073324"
"5","2013-06","-0.135952"
"5","2013-07","0.024461"
"5","2013-08","0.053109"
"5","2013-09","0.038658"
"5","2013-10","-0.017304"
"5","2013-11","0.040350"
"5","2013-12","-0.041356"
"5","2014-01","-0.030869"
"5","2014-02","0.013349"
"5","2014-03","-0.016546"
"5","2014-04","-0.005269"
"5","2014-05","0.012399"
"5","2014-06","0.022671"
"5","2014-07","0.089937"
"5","2014-08","0.014691"
"5","2014-09","0.077237"
"5","2014-10","0.023570"
"5","2014-11","0.095712"
"5","2014-12","0.165543"
"5","2015-01","0.007826"
"5","2015-02","0.040310"
"5","2015-03","0.148415"
"5","2015-04","0.178340"
"5","2015-05","0.067707"
"5","2015-06","-0.069175"
"5","2015-07","-0.149457"
"5","2015-08","-0.135950"
"5","2015-09","-0.058022"
"5","2015-10","0.133979"
"5","2015-11","0.031874"
"5","2015-12","0.039950"
"5","2016-01","-0.244570"
"5","2016-02","-0.018642"
"5","2016-03","0.135210"
"5","2016-04","-0.019588"
"5","2016-05","-0.005593"
"5","2016-06","0.019851"
"5","2016-07","0.019821"
"5","2016-08","0.041275"
"5","2016-09","-0.019371"
"5","2016-10","0.030238"
"5","2016-11","0.044556"
"5","2016-12","-0.044622"
"5","2017-01","0.014058"
"5","2017-02","0.026171"
"5","2017-03","-0.004680"
"5","2017-04","-0.021656"
"5","2017-05","-0.015640"
"5","2017-06","0.043208"
"5","2017-07","0.034548"
"5","2017-08","0.024840"
"5","2017-09","0.006382"
"5","2017-10","0.016600"
"5","2017-11","-0.022532"
"5","2017-12","0.001755"
"5","2018-01","0.045015"
"5","2018-02","-0.059044"
"5","2018-03","-0.022536"
"5","2018-04","-0.032808"
"5","2018-05","0.004277"
