date,MKT,SMB,HML,UMD,rf,smb_equal,hml_equal,umd_equal,RMW,CMA,rmw_equal,cma_equal
19940601,-0.1576434,-0.013240454,0.016468234,0.026382175,0.008719,-0.009669261,0.021991175,0.044200803,0.026193585,0.018887061,0.014911307,0.0202822
19940701,-0.245339974,-0.118368638,0.105771546,-0.1164324,0.008719,-0.109548621,0.095571795,-0.05829226,0.085873024,-0.064570423,0.075816266,-0.079092921
19940801,1.126362308,0.374269595,-0.404816759,0.486691615,0.008719,0.318650225,-0.299477275,0.276247593,-0.338384926,0.524101347,-0.395808743,0.608878537
19940901,0.05075964,0.173406646,0.147367847,-0.006934712,0.008719,0.157246303,0.124017108,-0.068124552,0.007490122,0.034219855,-0.008037205,0.07962977
19941001,-0.209376151,0.038891704,-0.002298847,0.009885904,0.008719,0.028251741,0.003989465,0.020944241,-0.014199637,0.033685652,-0.018063147,0.027638035
19941101,0.028550484,0.019204127,-0.032660917,0.092660133,0.008719,0.023145565,-0.030053208,0.089321672,-0.023717651,0.021682342,-0.027545777,0.026954982
19941201,-0.065554535,0.010548396,-0.00326143,-0.009143983,0.008719,0.011329616,-0.011792083,0.002263321,-0.009972573,0.001417542,-0.009918481,0.014375121
19950101,-0.131828842,-0.034582942,0.015578444,-0.055745451,0.008719,-0.027373629,0.014839984,-0.050222057,0.035797601,-0.046825744,0.025689002,-0.054137066
19950201,-0.025635046,-0.000629284,0.028025255,-0.034131923,0.008719,-0.003357482,0.026682252,-0.029873485,0.009934037,0.018477574,0.009806085,0.001563158
19950301,0.121853737,0.034073105,-0.058546876,0.113897359,0.008719,0.035145479,-0.045478008,0.091439525,-0.029490442,0.043233285,-0.025905456,0.058198513
19950401,-0.117091474,0.01450233,0.008670986,-0.005170196,0.008719,0.019894892,0.005683262,0.006330293,-0.007906047,-0.009751469,-0.00887713,-0.014123317
19950501,0.15127026,0.090739285,-0.11196654,0.157741753,0.008719,0.090042029,-0.089902761,0.129046674,-0.070631934,0.10232602,-0.060210442,0.098461484
19950601,-0.090082862,-0.026686026,0.028960926,-0.060316699,0.008719,-0.029395194,0.010171818,-0.056041874,0.017053778,-0.009398571,0.014557533,-0.010022238
19950701,0.059653912,-0.005305571,0.036482943,-0.025338225,0.008719,-0.010380819,0.033181364,-0.021276471,0.074198778,0.032370575,0.066652965,0.008364901
19950801,0.048676408,-0.036938979,0.137720648,-0.101164629,0.008719,-0.036950525,0.129202719,-0.101263883,0.013221643,0.032354226,0.002894503,-0.005898435
19950901,-0.010066321,-0.012009478,0.077972892,0.051042513,0.008719,-0.014998943,0.075562016,0.019013371,0.029775456,0.052458262,-0.00212674,0.018726793
19951001,0.005800018,0.005088647,0.056247439,0.042145674,0.008719,0.000872243,0.042998788,0.027764429,0.027609804,0.039283943,0.014917272,0.01251389
19951101,-0.087035426,0.009634592,-0.081959597,-0.090105366,0.008719,0.016399134,-0.061808318,-0.079363369,-0.046621061,-0.030134657,-0.023393335,0.001412659
19951201,-0.119050503,-0.009106588,0.014173599,-0.015879965,0.008719,-0.007294,0.019711496,-0.006628851,-0.030284532,-0.006840184,-0.035256256,0.001336436
19960101,-0.044621569,0.003543677,0.084139371,0.063776309,0.008719,0.001017666,0.072575671,0.050669658,0.029707912,0.035323404,0.011317849,0.006932165
19960201,0.020892522,-0.012137724,-0.029700349,-0.019326434,0.008719,-0.010119992,-0.034883112,-0.020719719,0.012917363,-0.010123057,0.019143202,-0.008320568
19960301,-0.006803541,0.003049735,0.002756475,0.029573661,0.008719,0.001922433,-0.003666857,0.018188066,0.025556364,0.010486407,0.012590144,0.001424589
19960401,0.305608571,0.035666359,0.067883457,-0.066153312,0.008719,0.023315016,0.080165124,-0.02444024,-0.161650401,0.003292113,-0.15081731,0.042930283
19960501,-0.040935333,-0.09128146,0.055703169,0.06984494,0.007346,-0.072709374,0.045070271,0.045435441,0.01052715,0.036177946,-0.017009842,-0.00238258
19960601,0.208600005,-0.126517865,0.073689645,0.110687592,0.007346,-0.092072,0.064132452,0.113193429,0.136294571,0.118739568,-0.013176516,0.068242504
19960701,0.184270819,0.036287365,0.254207464,0.158143385,0.007346,-0.002478326,0.301670941,0.198085914,-0.019863377,0.01156818,-0.006303088,0.040101875
19960801,0.003008499,-0.075924043,0.028714859,0.066206214,0.006022,-0.055217345,0.034542281,0.04123541,0.033207079,-0.033903496,0.067117905,-0.044671776
19960901,0.044754357,0.000662408,0.022344236,0.003859157,0.006022,0.007107439,0.046236471,0.013703932,-0.097250524,0.012669089,-0.039416621,-0.015192441
19961001,0.274764553,0.142345569,0.327177463,0.021110645,0.006022,0.110357488,0.342557197,0.08420872,-0.226292749,0.163837359,-0.231600745,0.200198164
19961101,0.086346601,0.042957359,0.072552833,0.026845061,0.006022,0.033124654,0.072193854,0.058221525,0.002176037,0.007933665,-0.01034311,0.024137696
19961201,-0.212681795,-0.085783511,-0.113539003,-0.080229114,0.006022,-0.065494843,-0.115551402,-0.1178673,0.139289955,-0.063749964,0.116520482,-0.070090155
19970101,0.093638266,0.038246936,0.058240694,0.05369738,0.006022,0.026564475,0.055041238,0.057100892,-0.038735823,0.005651305,-0.026369888,0.010947144
19970201,0.067342704,0.03346191,-0.031456414,-0.09928252,0.006022,0.029147846,-0.036391388,-0.107208849,-0.042968626,0.016140267,-0.068919584,0.039649018
19970301,0.191756105,0.024060648,-0.037928596,0.002626699,0.006022,0.035705996,-0.054750833,-0.025021003,0.057518783,-0.094089343,0.013287393,-0.074100731
19970401,0.110803336,-0.079280859,-0.045854307,0.042312499,0.006022,-0.041657988,-0.054651096,0.014254056,0.114777425,-0.151464359,0.060684744,-0.111127223
19970501,-0.086131224,-0.049294883,0.038342855,0.057764832,0.006022,-0.022313891,0.034017943,0.03195558,0.094483621,-0.045349786,0.044964854,-0.011157854
19970601,0.00886048,-0.023474548,0.009775773,0.111309071,0.006022,-0.003440769,0.005761603,0.084506223,0.055516631,-0.075720861,0.026990551,-0.031960129
19970701,-0.089252549,0.049451911,0.037456072,-0.081689424,0.006022,0.038302661,0.022835764,-0.072735616,-0.032424004,-0.002304067,-0.028429465,0.018692142
19970801,-0.002554936,0.019627271,0.100792365,-0.142124539,0.006022,0.005977271,0.08646474,-0.112681324,-0.1055561,0.0735812,-0.080908777,0.045551682
19970901,-0.133943243,0.036845342,-0.031352418,-0.016723171,0.006022,0.054365753,-0.026483015,-0.039888786,0.015592336,-0.00520216,-0.020527737,0.04483968
19971001,0.120344291,-0.044937582,-0.039035017,0.025546939,0.004606,-0.036469227,-0.038197764,0.001693341,0.035228903,-0.002125443,0.026476107,-0.023197839
19971101,-0.054623749,0.033137626,-0.020126349,0.02876906,0.004606,0.039585533,-0.010859119,0.027758987,0.021334476,-0.011683101,0.005303491,0.010465663
19971201,0.042398146,0.042219683,-0.048750629,0.061964305,0.004606,0.045442353,-0.049265748,0.029493675,0.047480708,-0.066518227,0.02555225,-0.011047428
19980101,0.025720115,0.033166977,-0.002646086,0.01966133,0.004606,0.024122988,-0.005637028,0.011964157,0.008039467,-0.003508435,-0.001159471,0.010781933
19980201,-0.020782519,0.0238974,0.044383039,-0.076734829,0.004606,0.018457842,0.044978814,-0.047492885,-0.079609089,0.038236283,-0.061272082,0.017573305
19980301,0.026244676,0.049067793,0.009651755,0.009506575,0.004249,0.057304206,0.016624402,0.025359318,-0.032576502,0.058222611,-0.053196314,0.080534209
19980401,0.085051538,0.062438847,-0.002843374,0.003195332,0.004249,0.044657589,0.010673547,0.020215996,-0.005767427,0.016208713,0.013366785,0.01603876
19980501,0.06321903,0.073177916,0.036358878,-0.027410073,0.004249,0.048386993,0.037326822,-0.038600015,-0.085004902,0.048651175,-0.071000613,0.039593724
19980601,-0.078245298,0.01069887,-0.029595524,0.051640253,0.004249,0.002704016,-0.034406876,0.03292255,0.012764581,0.004373992,0.050489957,-0.011536728
